# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 7K of event 'cycles:P'
# Event count (approx.): 31394175365
#
# Overhead  Command      Shared Object                                   Symbol                                            
# ........  ...........  ..............................................  ..................................................
#
    11.63%  snf-capture  [kernel.kallsyms]                               [k] entry_SYSRETQ_unsafe_stack
            |          
            |--0.61%--0x7f72a43aa824
            |          
             --0.53%--0x7f72a44acf35

     0.28%  snf-capture  libc.so.6                                       [.] 0x0000000000162b7f
     0.28%  snf-capture  libc.so.6                                       [.] 0x000000000008f66f
     0.27%  snf-capture  [kernel.kallsyms]                               [k] __rcu_read_unlock
     0.26%  snf-capture  [kernel.kallsyms]                               [k] kmem_cache_alloc_noprof
     0.26%  snf-capture  libc.so.6                                       [.] 0x000000000005a2fd
     0.26%  snf-capture  [kernel.kallsyms]                               [k] kernfs_iop_get_link
     0.25%  snf-capture  libc.so.6                                       [.] 0x000000000005a30a
     0.25%  snf-capture  [kernel.kallsyms]                               [k] __memcg_slab_post_alloc_hook
     0.25%  snf-capture  [kernel.kallsyms]                               [k] inode_permission
     0.25%  snf-capture  [kernel.kallsyms]                               [k] syscall_return_via_sysret
     0.25%  snf-capture  libc.so.6                                       [.] 0x000000000005a2c3
     0.24%  snf-capture  libc.so.6                                       [.] 0x00000000000626f5
     0.24%  snf-capture  libc.so.6                                       [.] 0x000000000005a356
     0.23%  snf-capture  libc.so.6                                       [.] 0x00000000000626f9
     0.23%  snf-capture  libc.so.6                                       [.] 0x000000000005a354
     0.23%  snf-capture  libc.so.6                                       [.] 0x0000000000062f24
     0.23%  snf-capture  libc.so.6                                       [.] 0x000000000005a2d7
     0.22%  snf-capture  libc.so.6                                       [.] 0x000000000005a358
     0.22%  snf-capture  libc.so.6                                       [.] 0x000000000005a350
     0.21%  snf-capture  libc.so.6                                       [.] 0x0000000000162b84
     0.20%  snf-capture  libc.so.6                                       [.] 0x0000000000062985
     0.20%  snf-capture  libc.so.6                                       [.] 0x000000000005a30f
     0.20%  snf-capture  libc.so.6                                       [.] 0x000000000005a2e3
     0.20%  snf-capture  [kernel.kallsyms]                               [k] x64_sys_call
     0.20%  snf-capture  [kernel.kallsyms]                               [k] kernfs_fop_open
     0.20%  snf-capture  libc.so.6                                       [.] 0x0000000000162b40
     0.20%  snf-capture  [kernel.kallsyms]                               [k] __check_object_size
     0.20%  snf-capture  [kernel.kallsyms]                               [k] dev_fetch_sw_netstats
     0.20%  snf-capture  libc.so.6                                       [.] 0x0000000000063d7c
     0.19%  snf-capture  libc.so.6                                       [.] 0x000000000008f668
     0.19%  snf-capture  libc.so.6                                       [.] 0x0000000000063d48
     0.19%  snf-capture  libc.so.6                                       [.] 0x00000000000635dd
     0.19%  snf-capture  [kernel.kallsyms]                               [k] walk_component
     0.19%  snf-capture  libc.so.6                                       [.] 0x000000000005a2bf
     0.19%  snf-capture  [kernel.kallsyms]                               [k] generic_permission
     0.19%  snf-capture  libc.so.6                                       [.] 0x0000000000062969
     0.19%  snf-capture  libc.so.6                                       [.] 0x0000000000062ccb
