name,build,mode,traffic_kind,pkt_size,status,sent_pps,sent_total,captured_total,captured_pps,kdrop_total,kdrop_pct,ifdrop,missed,emitted,syslog_sent,syslog_fail,syslog_delivered,streamed,sessions_final,loss_pct_total,rss_max_kb,cpu_capture_pct,cpu_main_pct,cpu_stats_pct,ctxsw_per_s,syscalls_per_pkt,ipc,exit_latency_ms,exit_code,killed,softnet_dropped_delta,softnet_squeezed_delta,br0_rx_pkts_delta,packet_socket_drops,window_secs,telemetry_samples_win,offered_pps_win,captured_win,kdrop_win,kdrop_pct_win,cpu_total_pct,perf_cpus_utilized,perf_stat_secs,perf_stat_window_pkts,perf_syscalls,perf_syscalls_write,perf_syscalls_getsockopt,perf_ctxsw_per_s,sent_datagrams,frames_per_datagram,bridge_in_pkts_total,br0_rx_pkts_total,gens_in_pkts_total,gens_out_pkts_total,sink_in_pkts_total,sink_out_pkts_total,veth_dropped_total,seen_pct,sent_vs_bridge_pct,syslog_delivery_pct,syslog_rcvbuf_errors,syslog_in_errors,host_loadavg1_max,kdrop_source
B2-jsonl-1m,pcap,jsonl,pktgen,64,ok,999945,30359069,16140010,533446.7,14219059,46.8363,0,601772,15538238,0,0,,0,4,46.8363,645612,99.78,99.07,0.0,518.5,,,94,0,False,0,0,28000328,0,29.09,29,999989.2,14950377,13075320,46.6548,198.89,,,,,,,,,,30359069,30359069,30359069,0,30359069,0,0,100.0,100.0,,,,9.29,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B2x-jsonl-max,pcap,jsonl,pktgen,64,ok,2806407,85164714,15641954,513800.2,69522760,81.6333,0,1119067,14522887,0,0,,0,4,81.6333,647480,99.93,99.39,0.0,298.4,,,1066,0,False,0,0,78613129,0,29.087,29,2807588.6,14400792,64290302,81.6996,199.35,,,,,,,,,,85164714,85164714,85164714,0,85164714,0,0,100.0,100.0,,,,9.26,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B3-syslog-1m,pcap,syslog,pktgen,64,ok,999943,29420605,4553452,153864.1,24867153,84.5229,0,0,0,4553452,0,4553452,0,0,84.5229,4780,99.85,0.0,0.0,85.1,2.01621,0.977,940,0,False,0,0,27000120,0,28.131,28,1000003.4,4158331,22867761,84.6136,99.85,0.998,10.001154287,1504779,3033944,1505217,23519,79.1,,,29420605,29420605,29420605,0,29420605,0,0,100.0,100.0,100.0,0,0,9.94,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B3x-syslog-max,pcap,syslog,pktgen,64,ok,2847946,86536130,4668526,152537.6,81867604,94.6051,0,0,0,4668526,0,4668526,0,0,94.6051,4892,99.86,0.0,0.0,82.6,,,1038,0,False,0,0,79746069,0,29.087,29,2847971.5,4274865,75539535,94.644,99.86,,,,,,,,,,86536130,86536130,86536130,0,86536130,0,0,100.0,100.0,100.0,0,0,9.54,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B4-streamnull-1m,pcap,stream-null,pktgen,64,ok,999946,30365513,17329437,570942.0,13036076,42.9305,0,0,0,0,0,,17329437,4,42.9305,645444,99.93,0.0,0.0,33.2,,,106,0,False,0,0,28000184,0,29.087,29,999992.8,15999509,12023289,42.9054,99.93,,,,,,,,,,30365513,30365513,30365513,0,30365513,0,0,100.0,100.0,,,,9.01,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B5-streamdisk-1m-1514,pcap,stream-disk,pktgen,1514,ok,999921,20338506,6173656,303461.4,14164850,69.6455,0,0,0,0,0,,6173656,4,69.6455,647652,99.82,0.0,0.0,32.9,,,1079,0,False,0,0,18000440,0,19.06,19,999977.5,5466858,12547737,69.6532,99.76,,,,,,,,,,20338506,20338506,20338506,0,20338506,0,0,100.0,100.0,,,,8.28,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B6-tui-1m,pcap,tui,pktgen,64,ok,999940,29374097,11868983,401606.6,17505114,59.5937,0,0,0,0,0,,0,4,59.5937,645588,99.85,97.78,0.0,234.9,1.05318,1.588,961,0,False,0,0,26999872,0,28.134,28,1000024.7,10854623,16174044,59.8403,197.59,1.978,10.001742391,3777999,3978931,3919789,59142,206.8,,,29374097,29374097,29374097,0,29374097,0,0,100.0,100.0,,,,8.71,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B6x-tui-max,pcap,tui,pktgen,64,ok,2818444,82720207,11749374,399839.0,70970833,85.7962,0,0,0,0,0,,0,4,85.7962,647452,99.77,95.25,0.0,571.6,,,83,0,False,0,0,76122490,0,28.09,28,2819078.0,10807647,65392031,85.8167,195.02,,,,,,,,,,82720207,82720207,82720207,0,82720207,0,0,100.0,100.0,,,,8.81,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B7-tuisessions-flows1m,pcap,tui-sessions,pktgen,64,ok,999932,30361429,3103200,99992.2,27258229,89.7791,0,0,0,0,0,,0,100000,89.7791,695180,57.53,95.6,0.0,10802.9,,,109,0,False,0,0,28000936,0,29.09,29,999844.7,2808081,25270559,89.9992,153.17,,,,,,,,,,30361429,30361429,30361429,0,30361429,0,0,100.0,100.0,,,,9.24,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B8-headlesspipe-1m,pcap,headless-pipe,pktgen,64,ok,999943,29346041,13744514,469641.9,15601527,53.164,0,239193,13505321,0,0,,0,4,53.164,645592,99.74,97.33,0.0,1985.3,,,95,0,False,0,0,27000343,0,28.086,28,1000006.7,12693952,14335230,53.0361,197.07,,,,,,,,,,29346041,29346041,29346041,0,29346041,0,0,100.0,100.0,,,,9.18,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
B9-raw-syslog-1m,raw,syslog,pktgen,64,ok,999941,29351095,4347497,148446.3,25003598,85.188,0,0,0,4347497,0,4347497,0,0,85.188,2220,99.85,0.0,0.0,87.9,,,1044,0,False,0,0,27000297,25003598,28.084,28,1000884.3,4011168,23033728,85.1685,99.85,,,,,,,,,,29351095,29351095,29351095,0,29351095,0,0,100.0,100.0,100.0,0,0,9.25,PACKET_STATISTICS tp_drops (== ss sk_drops)
C1-http-keepalive,pcap,quiet,http,64,ok,,,6189923,206004.3,2875,0.0464,0,0,0,0,0,,0,1028,,662144,47.87,0.0,0.0,296.7,1.01727,1.601,802,0,False,0,0,6084061,0,30.16,31,206004.3,5981540,0,0.0,47.87,0.507,10.001329304,2048656,2084040,2048643,32675,291.6,,1,6192798,6192798,3097623,3095175,3097623,3095175,0,100.0,,,,,6.39,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C1h-http-keepalive-headless,pcap,headless,http,64,ok,,,6164068,205268.1,1758,0.0285,0,0,6164068,0,0,,0,1028,,664144,56.17,48.84,0.0,7847.6,,,894,0,False,0,0,6056956,0,30.117,31,205268.1,5957700,0,0.0,105.01,,,,,,,,,1,6165826,6165826,3084241,3081585,3084241,3081585,0,100.0,,,,,8.59,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C2-http-offloads-off,pcap,quiet,http,64,ok,,,5941339,197906.0,1999,0.0336,0,0,0,0,0,,0,1028,,662228,43.53,0.0,0.0,289.8,,,889,0,False,0,0,5855463,0,30.115,31,197906.0,5744420,0,0.0,43.5,,,,,,,,,1,5943338,5943338,2972987,2970351,2972987,2970351,0,100.0,,,,,5.41,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C3-http-close,pcap,quiet,http,64,ok,,,6233805,207586.7,3094,0.0496,0,0,0,0,0,,0,1028,,664120,45.86,0.0,0.0,304.8,,,926,0,False,0,0,6019816,0,30.113,30,207586.7,6025618,0,0.0,45.86,,,,,,,,,1,6236899,6236899,3119749,3117150,3119749,3117150,0,100.0,,,,,5.01,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C3t-http-close-tui-sessions,pcap,tui-sessions,http,64,ok,,,6180605,206101.7,6237,0.1008,0,0,0,0,0,,0,1028,,664328,60.91,66.87,0.0,4504.9,,,902,0,False,0,0,6088129,0,30.122,31,206101.7,5983546,0,0.0,127.85,,,,,,,,,1,6186842,6186842,3094809,3092033,3094809,3092033,0,100.0,,,,,4.81,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C4-iperf-tcp,pcap,quiet,iperf,64,ok,,,3109652,103962.4,435357,12.2808,0,0,0,0,0,,0,36,,649116,98.24,0.0,0.0,365.9,1.02148,0.534,635,0,False,0,0,3406414,0,29.241,30,117471.7,2913963,378651,11.5,98.28,0.983,10.002627127,1050088,1072649,1048132,21791,318.2,,1,3545009,3545009,2622379,922630,2622379,922630,0,100.0,,,,,17.02,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C4o-iperf-tcp-offloads-off,pcap,quiet,iperf,64,ok,,,14638672,487128.3,10475623,41.7118,0,0,0,0,0,,0,36,,646200,98.28,0.0,0.0,79.1,,,881,0,False,0,0,24351100,0,30.125,31,819313.7,14140848,9643010,40.5443,98.28,,,,,,,,,1,25114295,25114295,24340277,774018,24340277,774018,0,100.0,,,,,23.82,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C5-replay-quiet,pcap,quiet,replay,64,ok,786765.1,23467982,14728351,494981.6,14630293,49.833,0,0,0,0,0,,0,8778,37.2407,652112,98.28,0.0,0.0,38.4,,,892,0,False,0,0,29043713,0,30.115,31,984647.5,14365850,14211573,49.7301,98.35,,,,,,,,23467982,1,29358644,29358644,25377322,10767907,16281004,3981322,0,100.0,92.476,,,,13.07,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C5j-replay-jsonl,pcap,jsonl,replay,64,ok,773951.5,23102852,12680981,424364.1,16262390,56.1869,0,172792,12508189,0,0,,0,8778,45.1108,652392,99.91,98.98,0.0,585.4,,,865,0,False,0,0,28093869,0,30.109,30,968698.9,12318017,15800405,56.1924,198.93,,,,,,,,23102852,1,28943371,28943371,25024878,10772559,16041200,3918493,0,100.0,92.32,,,,22.07,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C5t-replay-tui,pcap,tui,replay,64,ok,774432.8,23095019,10841632,363422.9,18053018,62.4788,0,0,0,0,0,,0,8777,53.0564,652236,98.21,97.08,0.0,166.4,,,905,0,False,0,0,28540462,0,30.111,31,968574.3,10555981,17577228,62.4786,195.25,,,,,,,,23095019,1,28894650,28894650,24976564,10606873,16023125,3918086,0,100.0,92.467,,,,8.93,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C6-synflood-quiet,pcap,quiet,synflood,64,ok,85297.0,2562752,5893832,194337.8,66282,1.1121,0,0,0,0,0,,0,100000,-129.9806,672452,74.1,0.0,0.0,120.1,0.99769,1.07,869,0,False,0,0,5504921,0,29.151,29,196702.7,5446900,66282,1.2022,74.07,0.745,10.001214087,1994217,1989607,1957644,31076,119.3,2562752,1,6004581,6004581,2595304,3506927,2595304,3409277,0,99.259,98.746,,,,8.71,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C6t-synflood-tui-sessions,pcap,tui-sessions,synflood,64,ok,83585.3,2512192,4322528,139472.4,1627476,27.3525,0,0,0,0,0,,0,100000,-72.062,695660,64.92,96.67,0.0,4828.4,,,919,0,False,0,0,5629888,0,30.11,30,194887.6,4053347,1610475,28.4344,161.59,,,,,,,,2512192,1,5950004,5950004,2544780,3502958,2544780,3405224,0,100.0,98.719,,,,9.4,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C7-udpflood-quiet,pcap,quiet,udpflood,64,ok,1975433.0,59265728,17628852,586777.9,41636876,70.2546,0,0,0,0,0,,0,8,70.2546,645580,99.94,0.0,0.0,65.3,,,889,0,False,0,0,55313163,0,29.103,29,1975612.3,16444451,38922085,70.2989,99.91,,,,,,,,59265728,1,59265728,59265728,59265728,0,59265728,0,0,100.0,100.0,,,,8.44,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C7r-udpflood-randsrc,pcap,quiet,udpflood,64,ok,1978708.5,59364800,17087585,571586.8,42277215,71.216,0,0,0,0,0,,0,128,71.216,647488,99.82,0.0,0.0,50.7,,,824,0,False,0,0,55537346,0,29.119,29,1983527.1,16018149,39568215,71.1833,99.85,,,,,,,,59364800,1,59364800,59364800,59364800,0,59364800,0,0,100.0,100.0,,,,7.99,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
C8-frag-quiet,pcap,quiet,frag,64,ok,2092989.0000000002,62797824,15740164,523035.1,47057660,74.9352,0,0,0,0,0,,0,12,74.9352,647780,99.7,0.0,0.0,93.9,,,877,0,False,0,0,58611260,0,29.109,29,2093304.6,14657537,44005232,75.0139,99.7,,,,,,,,20932608,3,62797824,62797824,62797824,0,62797824,0,0,100.0,100.0,,,,8.55,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
D1-soak-headless-5min,pcap,headless,pktgen,64,ok,2816687,845338646,130999714,436260.2,714338932,84.5033,0,0,130999714,0,0,,0,4,84.5033,645524,99.56,87.75,0.0,7115.1,,,602,0,False,0,0,839395386,0,298.854,299,2816771.5,129687509,707656974,84.512,187.32,,,,,,,,,,845338646,845338646,845338646,0,845338646,0,0,100.0,100.0,,,,12.79,libpcap ps_drop (TPACKET tp_drops; not in ss sk_drops)
